id,word
145,stink
144,losers
3,fall
4,down
5,bearish
6,decrease
7,bad
8,low
9,lower
10,bear
11,negative
12,short
13,crash
14,crashing
15,instable
16,instablized
17,ugly
18,unhappy
19,loss
20,put
143,shorted
22,worse
23,worst
24,weak
25,weaker
26,underweight
27,underperform
28,downgrade
29,downgraded
30,awful
31,overbought
32,falls
33,falling
34,resistance
35,badly
36,weakness
37,risky
38,breakdown
39,warn
40,warned
41,warning
42,warns
43,nonexistant
44,slip
45,slipped
46,slips
47,drop
48,drops
49,dropping
50,dropped
51,lose
52,loosing
53,losses
54,hates
55,hate
56,hating
57,fear
58,fears
59,afraid
60,worsen
61,worsens
62,worsening
63,declination
64,unoriented
65,frustrating
66,frustrates
67,frustration
68,failure
69,fail
70,fails
71,failed
72,cut
73,cuts
74,cutting
75,aimless
76,veil
77,veils
78,ominous
79,horrible
80,overvalued
81,inferior
82,disappointed
83,disappointement
84,deteriorate
85,deteriorates
86,meagre
87,scared
88,scares
89,scary
90,regressive
91,old-fashioned
92,inactive
93,fell
94,lost
95,unimpressive
96,lowest
97,unsurprising
98,unsurpisingly
99,loser
100,criticise
101,thump
102,dethroned
103,dethrone
104,stagnant
105,dip
106,dips
107,dipped
108,unsustainable
109,risk
110,risks
111,bash
112,slowdown
113,uncool
114,overhyped
115,meager
116,overcompensation
117,decline
118,declined
119,declines
120,problem
121,problems
122,unpopular
123,disgraceful
124,deceive
125,deceives
126,deception
127,misguided
128,misguide
129,dissappointed
130,dissappointment
131,dissappointes
132,dissappoint
133,dissuasive
134,diadvise
135,disadvises
136,disadvised
137,destroys
138,destroying
139,unimpressed
140,careful
141,suck
142,downtrend
146,stinks
147,dead
148,saturated
161,hurt
150,shorting
151,downgrades
152,downgrading
153,deceptive
154,failing
155,minus
156,deadly
157,shutdown
158,collapse
159,fraud
160,waste
162,hurts
163,sell
164,shorts
165,negativity
166,fade
167,fading
168,fades
169,sink
170,sinks
171,sinking
172,lowered
173,downtrending
174,sucks
175,bankruptcy
176,bankrupt
177,downside
178,dumped
179,dump
180,dumps
181,frustrated
182,downward
183,downwards
184,trouble
185,troubles
186,pullback
187,melt
188,melts
189,melting
190,selloff
191,crappy
192,crap
193,plummet
194,bears
195,suffering
196,suffer
197,suffers
198,puts
199,panic
200,tank
201,slapped
202,slap
203,slaps
204,reduced
205,plagued
206,plague
207,junk
208,shit
209,sellers
210,seller
211,out
212,shorties
213,shorty
214,shortie
215,nervous
216,bottom
217,hammered
218,ouch
219,pathetic
251,ignition
222,bargain
223,layoffs
224,manipulation
225,manipulate
226,manipulating
227,manipulates
228,garbage
229,hammerd
230,lawsuit
231,ban
232,rejected
233,reject
234,rejects
235,jeopardy
236,jeopardize
237,jeopardise
238,hazard
239,blood
240,reduce
241,reducing
242,slicing
243,reduces
244,drag
245,drags
246,terrible
247,shortz
248,sucking
249,plunge
250,shortages
252,taper
253,tapering
254,unsustainably
255,unstable
256,bubble
257,consolidate
258,consolidation
259,consolidates
260,consolidating
261,consolidated
