stockCode,stockName,stockInfo,stockDate,stockIndex,stockK,stockD,amount
----------,----------,----------,----------,----------,----------,----------,----------
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2018-01-29,59.7,17.0936,26.6632,-90000.0,https://tw.stock.yahoo.com/q/ta?s=1262&tech_submit=%ACd+%B8%DF
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2018-01-26,60.0,32.6164,45.5613,-228000.0
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2018-01-25,60.5,48.9246,52.0337,-216000.0
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2018-01-24,61.3,61.2247,53.5882,-345000.0
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2018-01-23,63.0,68.8641,49.77,90000.0
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2018-01-22,63.0,57.3502,40.2229,-140000.0
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2018-01-19,63.0,40.0794,31.6592,79000.0
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2017-12-01(LOWEST),50.2,4.81655,8.28112
1262,綠悅-KY,BOPA薄膜100.00% (2016年),2014-01-16 上市

1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-29,57.0,0.0,0.0,,https://tw.stock.yahoo.com/q/ta?s=1760&tech_submit=%ACd+%B8%DF
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-26,58.1,0.0,0.0,-3046.0
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-25,59.6,0.0,0.0,-10712.0
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-24,59.6,0.0,0.0,
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-23,60.5,0.0,0.0,-36000.0
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-29(LOWEST),57.0,0.0,0.0
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-23 上市

2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-29,39.0,0.447927,1.5352,,https://tw.stock.yahoo.com/q/ta?s=2243&tech_submit=%ACd+%B8%DF
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-26,39.15,0.67189,2.07884,
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-25,39.6,1.00783,2.78232,2000.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-24,39.6,1.51175,3.66956,1000.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-23,39.75,2.26763,4.74847,3000.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-22,39.65,2.34881,5.98889,
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-19,41.35,3.52322,7.80892,
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2017-09-27(LOWEST),35.15,0.0,0.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2017-09-27 上市

2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-29,35.55,12.7692,18.9972,-222000.0,https://tw.stock.yahoo.com/q/ta?s=2634&tech_submit=%ACd+%B8%DF
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-26,35.8,12.5738,14.6228,-92000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-25,35.85,15.2893,15.6473,-218000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-24,35.95,15.7911,15.8264,-388480.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-23,35.75,9.40092,15.844,-168000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-22,35.9,14.1014,19.0655,-95000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-19,35.8,16.8042,21.5476,-408000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2014-08-25(LOWEST),30.0,0.0,0.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2014-08-25 上市

2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2018-01-29,23.4,8.51277,15.5024,-54000.0,https://tw.stock.yahoo.com/q/ta?s=2636&tech_submit=%ACd+%B8%DF
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2018-01-26,23.6,60.7971,64.057,-73000.0
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2018-01-25,23.6,66.1956,65.687,-45001.0
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2018-01-24,23.65,69.2934,65.4327,2000.0
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2018-01-23,23.65,68.9401,63.5024,-48000.0
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2018-01-22,23.65,68.4101,60.7836,-22000.0
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2018-01-19,23.7,67.6151,56.9703,-66000.0
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2017-01-20(LOWEST),20.45,3.21163,9.71685
2636,台驊,海運出口51.10%、空運出口20.90%、物流16.89%、海運進口6.10%、空運進口5.01% (2016年),2016-12-22 上市

2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2018-01-29,29.1,26.5085,19.1711,-31148.0,https://tw.stock.yahoo.com/q/ta?s=2637&tech_submit=%ACd+%B8%DF
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2018-01-26,29.05,44.4717,35.8744,15000.0
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2018-01-25,29.05,41.7075,31.5757,-68132.0
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2018-01-24,29.15,37.5613,26.5098,41000.0
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2018-01-23,29.0,18.842,20.984,54851.0
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2018-01-22,28.85,9.51293,22.055,-78000.0
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2018-01-19,28.85,14.2694,28.326,-33000.0
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2017-10-19(LOWEST),25.65,2.31638,6.0775
2637,慧洋-KY,租金收入92.62%、運費4.03%、其他1.92%、船舶管理1.43% (2016年),2010-12-01 上市

5225,東科-KY,帶電子揚聲器及音響52.91%、傳統揚聲器18.19%、其他11.11%、耳機9.26%、高級揚聲器4.31%、無線揚聲器4.22% (2016年),2018-01-29,28.35,24.894,20.0987,,https://tw.stock.yahoo.com/q/ta?s=5225&tech_submit=%ACd+%B8%DF
5225,東科-KY,帶電子揚聲器及音響52.91%、傳統揚聲器18.19%、其他11.11%、耳機9.26%、高級揚聲器4.31%、無線揚聲器4.22% (2016年),2018-01-26,28.3,63.1573,62.041,-1000.0
5225,東科-KY,帶電子揚聲器及音響52.91%、傳統揚聲器18.19%、其他11.11%、耳機9.26%、高級揚聲器4.31%、無線揚聲器4.22% (2016年),2018-01-25,28.2,61.4026,61.4828,2000.0
5225,東科-KY,帶電子揚聲器及音響52.91%、傳統揚聲器18.19%、其他11.11%、耳機9.26%、高級揚聲器4.31%、無線揚聲器4.22% (2016年),2018-01-24,28.25,69.8816,61.5229,1000.0
5225,東科-KY,帶電子揚聲器及音響52.91%、傳統揚聲器18.19%、其他11.11%、耳機9.26%、高級揚聲器4.31%、無線揚聲器4.22% (2016年),2018-01-23,28.4,77.0446,57.3436,3000.0
5225,東科-KY,帶電子揚聲器及音響52.91%、傳統揚聲器18.19%、其他11.11%、耳機9.26%、高級揚聲器4.31%、無線揚聲器4.22% (2016年),2018-01-22,28.45,71.1225,47.493,
