stockCode,stockName,stockInfo,stockDate,stockIndex,stockK,stockD,amount
----------,----------,----------,----------,----------,----------,----------,----------
00712,FH富時不動產,,2018-01-26,18.31,9.68652,11.2138,-13000.0,https://tw.stock.yahoo.com/q/ta?s=00712&tech_submit=%ACd+%B8%DF
00712,FH富時不動產,,2018-01-25,18.43,14.5298,11.9774,-14000.0
00712,FH富時不動產,,2018-01-24,18.47,13.4613,10.7012,-58000.0
00712,FH富時不動產,,2018-01-23,18.43,9.40769,9.32112,-14000.0
00712,FH富時不動產,,2018-01-22,18.41,7.24878,9.27784,20000.0
00712,FH富時不動產,,2018-01-19,18.36,5.97122,10.2924,67000.0
00712,FH富時不動產,,2018-01-18,18.65,8.95682,12.4529,-49952000.0
00712,FH富時不動產,,2018-01-26(LOWEST),18.31,9.68652,11.2138

00717,富邦美國特別股,,2018-01-26,19.06,6.07628,13.7841,-1028000.0,https://tw.stock.yahoo.com/q/ta?s=00717&tech_submit=%ACd+%B8%DF
00717,富邦美國特別股,,2018-01-25,19.12,9.11442,17.638,-174000.0
00717,富邦美國特別股,,2018-01-24,19.17,13.6716,21.8999,114000.0
00717,富邦美國特別股,,2018-01-23,19.17,15.8563,26.014,-142000.0
00717,富邦美國特別股,,2018-01-22,19.13,19.1333,31.0928,1648000.0
00717,富邦美國特別股,,2018-01-19,19.36,28.6999,37.0726,-736000.0
00717,富邦美國特別股,,2018-01-18,19.48,43.0498,41.2589,328000.0
00717,富邦美國特別股,,2018-01-26(LOWEST),19.06,6.07628,13.7841

1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-26,10.1,10.7172,20.1143,2000.0,https://tw.stock.yahoo.com/q/ta?s=1468&tech_submit=%ACd+%B8%DF
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-25,10.2,16.0758,24.8129,2000.0
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-24,10.15,18.5581,29.1815,2000.0
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-23,10.25,25.0593,34.4932,7000.0
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-22,10.15,29.2557,39.2102,
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-19,10.25,41.1058,44.1874,
1468,昶和,成衣布90.04%、其他9.96% (2016年),2018-01-18,10.4,53.3253,45.7282,-1000.0
1468,昶和,成衣布90.04%、其他9.96% (2016年),2012-11-21(LOWEST),8.99,9.96088,16.4863

1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-26,58.1,0.0,0.0,-3046.0,https://tw.stock.yahoo.com/q/ta?s=1760&tech_submit=%ACd+%B8%DF
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-25,59.6,0.0,0.0,-10712.0
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-24,59.6,0.0,0.0,
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-23,60.5,0.0,0.0,-36000.0
1760,寶齡,里程金18.05%、權利金18.05%、藥品-液劑類17.50%、化工-其他10.61%、藥品-軟膏類8.87%、化工液劑類7.54%、藥品-錠劑類7.26%、化工軟膏類3.34%、藥品-膠囊類2.61%、食品其他類2.12%、藥品-其他2.05%、食品膠囊類0.91%、食品,2018-01-26(LOWEST),58.1,0.0,0.0

1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2018-01-26,35.2,13.5137,15.9214,137000.0,https://tw.stock.yahoo.com/q/ta?s=1789&tech_submit=%ACd+%B8%DF
1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2018-01-25,35.15,8.90694,17.1252,253000.0
1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2018-01-24,34.95,7.64612,21.2343,31000.0
1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2018-01-23,35.2,11.4692,28.0284,112360.0
1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2018-01-22,35.2,17.2038,36.3081,-18000.0
1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2018-01-19,35.45,25.8056,45.8602,-160000.0
1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2018-01-18,35.5,36.7854,55.8875,-62000.0
1789,神隆,原料藥95.28%、技術服務4.72% (2016年),2015-08-06(LOWEST),31.4,6.68772,11.2224

2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-26,39.15,0.67189,2.07884,,https://tw.stock.yahoo.com/q/ta?s=2243&tech_submit=%ACd+%B8%DF
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-25,39.6,1.00783,2.78232,2000.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-24,39.6,1.51175,3.66956,1000.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-23,39.75,2.26763,4.74847,3000.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-22,39.65,2.34881,5.98889,
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-19,41.35,3.52322,7.80892,
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2018-01-18,42.5,5.28482,9.95178,-3000.0
2243,宏旭-KY,模具99.84%、其他0.16% (2016年),2017-09-27(LOWEST),35.15,0.0,0.0

2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-26,35.8,12.5738,14.6228,-92000.0,https://tw.stock.yahoo.com/q/ta?s=2634&tech_submit=%ACd+%B8%DF
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-25,35.85,15.2893,15.6473,-218000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-24,35.95,15.7911,15.8264,-388480.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-23,35.75,9.40092,15.844,-168000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-22,35.9,14.1014,19.0655,-95000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-19,35.8,16.8042,21.5476,-408000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2018-01-18,36.2,25.2064,23.9193,-286000.0
2634,漢翔,飛機及航空器維修類60.26%、引擎類38.10%、工業技術服務類1.64% (2016年),2014-08-25(LOWEST),30.0,0.0,0.0

